Type;Active;Playable;Enumeration;Caption;Duration;Planned;Played;Filename;CutIn;CutOut;Schedule
Block;;;;BLOCO TIRO DE META;00:00:25;;;;;;
Block;;;;BLOCO TIRO DE META;00:00:30;;;;;;
Block;;;;TIRO DE META BREAK 1;00:02:00;;;;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
File;;;CO000003       ;TEASER YOUTUBE GIGANTES DO CAFÉ;00:01:00;;;D:\VIDEOS-PLAYDESK\TEASER YOUTUBE GIGANTES DO CAFÉ.MP4;;;
Block;;;;BLOCO TIRO DE META;00:00:30;;;;;;
Block;;;;TIRO DE META BREAK 2;00:02:30;;;;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
File;;;CO000003       ;TEASER YOUTUBE GIGANTES DO CAFÉ;00:01:00;;;D:\VIDEOS-PLAYDESK\TEASER YOUTUBE GIGANTES DO CAFÉ.MP4;;;
File;;;CO000006       ;COMERCIAL SHINERAY (COM MASCARA);00:00:30;;;D:\VIDEOS-PLAYDESK\COMERCIAL SHINERAY (COM MASCARA).MP4;;;
Block;;;;BLOCO TIRO DE META;00:00:30;;;;;;
Block;;;;TIRO DE META BREAK 3;00:02:30;;;;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
File;;;CO000003       ;TEASER YOUTUBE GIGANTES DO CAFÉ;00:01:00;;;D:\VIDEOS-PLAYDESK\TEASER YOUTUBE GIGANTES DO CAFÉ.MP4;;;
File;;;CO000007       ;COMERCIAL TRANSFÁCIL - COM MÁSCARA;00:00:30;;;D:\VIDEOS-PLAYDESK\COMERCIAL TRANSFÁCIL - COM MÁSCARA.MP4;;;
Block;;;;BLOCO TIRO DE META;00:00:25;;;;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 0;00:01:30;;;;;;
File;;;CO000006       ;COMERCIAL SHINERAY (COM MASCARA);00:00:30;;;D:\VIDEOS-PLAYDESK\COMERCIAL SHINERAY (COM MASCARA).MP4;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 1;00:01:00;;;;;;
File;;;CO000007       ;COMERCIAL TRANSFÁCIL - COM MÁSCARA;00:00:30;;;D:\VIDEOS-PLAYDESK\COMERCIAL TRANSFÁCIL - COM MÁSCARA.MP4;;;
File;;;CO000008       ;JOIE COSMÉTICOS - VÍDEO COMERCIAL;00:00:30;;;D:\VIDEOS-PLAYDESK\JOIE COSMÉTICOS - VÍDEO COMERCIAL.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 2;00:01:00;;;;;;
File;;;CO000009       ;MULHERES DO VALE - CHAMADA PROGRAMAÇÃO;00:00:30;;;D:\VIDEOS-PLAYDESK\MULHERES DO VALE - CHAMADA PROGRAMAÇÃO.MP4;;;
File;;;CO000012       ;VIDEO BCAR VEICULOS 01-05-26 2;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO BCAR VEICULOS 01-05-26 2.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 3;00:01:00;;;;;;
File;;;CO000013       ;VIDEO GOTECH BATERIAS 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO GOTECH BATERIAS 30-04-26.MP4;;;
File;;;CO000007       ;COMERCIAL TRANSFÁCIL - COM MÁSCARA;00:00:30;;;D:\VIDEOS-PLAYDESK\COMERCIAL TRANSFÁCIL - COM MÁSCARA.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 4;00:01:00;;;;;;
File;;;CO000013       ;VIDEO GOTECH BATERIAS 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO GOTECH BATERIAS 30-04-26.MP4;;;
File;;;CO000011       ;TEASER YOUTUBE GIGANTES DO CAFÉ;00:00:30;;;D:\VIDEOS-PLAYDESK\TEASER YOUTUBE GIGANTES DO CAFÉ.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 5;00:01:00;;;;;;
File;;;CO000014       ;VIDEO INVESTCAR 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO INVESTCAR 30-04-26.MP4;;;
File;;;CO000010       ;MULHERES DO VALE - CHAMADA PROGRAMAÇÃO;00:00:30;;;D:\VIDEOS-PLAYDESK\MULHERES DO VALE - CHAMADA PROGRAMAÇÃO.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 6;00:01:30;;;;;;
File;;;CO000016       ;VIDEO PLATAFORMA DO CARRO 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO PLATAFORMA DO CARRO 30-04-26.MP4;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 7;00:01:30;;;;;;
File;;;CO000003       ;TEASER YOUTUBE GIGANTES DO CAFÉ;00:01:00;;;D:\VIDEOS-PLAYDESK\TEASER YOUTUBE GIGANTES DO CAFÉ.MP4;;;
File;;;CO000008       ;JOIE COSMÉTICOS - VÍDEO COMERCIAL;00:00:30;;;D:\VIDEOS-PLAYDESK\JOIE COSMÉTICOS - VÍDEO COMERCIAL.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 8;00:01:00;;;;;;
File;;;CO000016       ;VIDEO PLATAFORMA DO CARRO 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO PLATAFORMA DO CARRO 30-04-26.MP4;;;
File;;;CO000008       ;JOIE COSMÉTICOS - VÍDEO COMERCIAL;00:00:30;;;D:\VIDEOS-PLAYDESK\JOIE COSMÉTICOS - VÍDEO COMERCIAL.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 9;00:01:00;;;;;;
File;;;CO000015       ;VIDEO LANDBH 01-05-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO LANDBH 01-05-26.MP4;;;
File;;;CO000010       ;MULHERES DO VALE - CHAMADA PROGRAMAÇÃO;00:00:30;;;D:\VIDEOS-PLAYDESK\MULHERES DO VALE - CHAMADA PROGRAMAÇÃO.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 10;00:01:00;;;;;;
File;;;CO000014       ;VIDEO INVESTCAR 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO INVESTCAR 30-04-26.MP4;;;
File;;;CO000011       ;TEASER YOUTUBE GIGANTES DO CAFÉ;00:00:30;;;D:\VIDEOS-PLAYDESK\TEASER YOUTUBE GIGANTES DO CAFÉ.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 11;00:01:58;;;;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
File;;;CO000005       ;COMERCIAL - ELOOS (COM MASCARA);00:00:58;;;D:\VIDEOS-PLAYDESK\COMERCIAL - ELOOS (COM MASCARA).MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 12;00:01:30;;;;;;
File;;;CO000006       ;COMERCIAL SHINERAY (COM MASCARA);00:00:30;;;D:\VIDEOS-PLAYDESK\COMERCIAL SHINERAY (COM MASCARA).MP4;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 13;00:01:00;;;;;;
File;;;CO000008       ;JOIE COSMÉTICOS - VÍDEO COMERCIAL;00:00:30;;;D:\VIDEOS-PLAYDESK\JOIE COSMÉTICOS - VÍDEO COMERCIAL.MP4;;;
File;;;CO000010       ;MULHERES DO VALE - CHAMADA PROGRAMAÇÃO;00:00:30;;;D:\VIDEOS-PLAYDESK\MULHERES DO VALE - CHAMADA PROGRAMAÇÃO.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 14;00:01:30;;;;;;
File;;;CO000012       ;VIDEO BCAR VEICULOS 01-05-26 2;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO BCAR VEICULOS 01-05-26 2.MP4;;;
File;;;CO000003       ;TEASER YOUTUBE GIGANTES DO CAFÉ;00:01:00;;;D:\VIDEOS-PLAYDESK\TEASER YOUTUBE GIGANTES DO CAFÉ.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 15;00:01:00;;;;;;
File;;;CO000013       ;VIDEO GOTECH BATERIAS 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO GOTECH BATERIAS 30-04-26.MP4;;;
File;;;CO000008       ;JOIE COSMÉTICOS - VÍDEO COMERCIAL;00:00:30;;;D:\VIDEOS-PLAYDESK\JOIE COSMÉTICOS - VÍDEO COMERCIAL.MP4;;;
Block;;;;JORNAL DA ITATIAIA 1 EDICAO BREAK 16;00:01:00;;;;;;
File;;;CO000015       ;VIDEO LANDBH 01-05-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO LANDBH 01-05-26.MP4;;;
File;;;CO000008       ;JOIE COSMÉTICOS - VÍDEO COMERCIAL;00:00:30;;;D:\VIDEOS-PLAYDESK\JOIE COSMÉTICOS - VÍDEO COMERCIAL.MP4;;;
Block;;;;BLOCO PROGRAMA ACIR ANTAO;00:00:25;;;;;;
Block;;;;BLOCO PROGRAMA ACIR ANTAO;00:00:30;;;;;;
Block;;;;PROGRAMA ACIR ANTAO BREAK 1;00:01:00;;;;;;
File;;;CO000007       ;COMERCIAL TRANSFÁCIL - COM MÁSCARA;00:00:30;;;D:\VIDEOS-PLAYDESK\COMERCIAL TRANSFÁCIL - COM MÁSCARA.MP4;;;
File;;;CO000008       ;JOIE COSMÉTICOS - VÍDEO COMERCIAL;00:00:30;;;D:\VIDEOS-PLAYDESK\JOIE COSMÉTICOS - VÍDEO COMERCIAL.MP4;;;
Block;;;;BLOCO PROGRAMA ACIR ANTAO;00:00:30;;;;;;
Block;;;;PROGRAMA ACIR ANTAO BREAK 2;00:01:30;;;;;;
File;;;CO000009       ;MULHERES DO VALE - CHAMADA PROGRAMAÇÃO;00:00:30;;;D:\VIDEOS-PLAYDESK\MULHERES DO VALE - CHAMADA PROGRAMAÇÃO.MP4;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
Block;;;;BLOCO PROGRAMA ACIR ANTAO;00:00:30;;;;;;
Block;;;;PROGRAMA ACIR ANTAO BREAK 3;00:01:00;;;;;;
File;;;CO000012       ;VIDEO BCAR VEICULOS 01-05-26 2;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO BCAR VEICULOS 01-05-26 2.MP4;;;
File;;;CO000014       ;VIDEO INVESTCAR 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO INVESTCAR 30-04-26.MP4;;;
Block;;;;BLOCO PROGRAMA ACIR ANTAO;00:00:30;;;;;;
Block;;;;PROGRAMA ACIR ANTAO BREAK 4;00:01:00;;;;;;
File;;;CO000007       ;COMERCIAL TRANSFÁCIL - COM MÁSCARA;00:00:30;;;D:\VIDEOS-PLAYDESK\COMERCIAL TRANSFÁCIL - COM MÁSCARA.MP4;;;
File;;;CO000016       ;VIDEO PLATAFORMA DO CARRO 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO PLATAFORMA DO CARRO 30-04-26.MP4;;;
Block;;;;BLOCO PROGRAMA ACIR ANTAO;00:00:30;;;;;;
Block;;;;PROGRAMA ACIR ANTAO BREAK 5;00:01:30;;;;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
File;;;CO000014       ;VIDEO INVESTCAR 30-04-26;00:00:30;;;D:\VIDEOS-PLAYDESK\VIDEO INVESTCAR 30-04-26.MP4;;;
Block;;;;BLOCO PROGRAMA ACIR ANTAO;00:00:25;;;;;;
